Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|    42 | 06A4 (+ 0010) .. .... 72E | 1A40 (+ 0030) .. .... 6D4 | 19A0 (- 0038) .. .... 72E | .... .. ... . |
|    43 | 0694 (- 0010) .. .... 6E8 | 1A70 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|    44 | 0684 (- 0010) .. .... 6A2 | 1A40 (- 0030) .. .... 65C | 19D8 (+ 0038) .. .... 7BA | .... .. ... . |
|    45 | 0674 (- 0010) .. .... 65C | 1A10 (- 0030) .. .... 620 | 1A10 (+ 0038) .. .... 800 | .... .. ... . |
|    46 | 0664 (- 0010) .. .... 616 | 19E0 (- 0030) .. .... 5E4 | 1A48 (+ 0038) .. .... 7BA | .... .. ... . |
|    47 | ....  ... ..  .. .... 5D0 | 19B0 (- 0030) .. .... 620 | 1A80 (+ 0038) .. .... 774 | .... .. ... . |
|    48 | 0614 (F#2 9E) .. .... 58A | ....  ... ..  .. .... 65C | 1A48 (- 0038) .. .... 72E | .... .. ... . |
|    49 | 0624 (+ 0010) .. .... 544 | 19E0 (+ 0030) .. .... 698 | 1A10 (- 0038) .. .... 6E8 | .... .. ... . |
|    50 | 0634 (+ 0010) .. .... 4FE | 1A10 (+ 0030) .. .... 6D4 | 19D8 (- 0038) .. .... 72E | .... .. ... . |
|    51 | 0644 (+ 0010) .. .... 4B8 | 1A40 (+ 0030) .. .... 710 | 19A0 (- 0038) .. .... 774 | .... .. ... . |
|    52 | 0634 (- 0010) .. .... 472 | 1A70 (+ 0030) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|    53 | 0624 (- 0010) .. .... 42C | 1A40 (- 0030) .. .... 788 | 19D8 (+ 0038) .. .... 800 | .... .. ... . |
|    54 | 0614 (- 0010) .. .... 3E6 | 1A10 (- 0030) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|    55 | 0604 (- 0010) .. .... 3A0 | 19E0 (- 0030) .. .... 800 | 1A48 (+ 0038) .. .... 774 | .... .. ... . |
|    56 | ....  ... ..  .. .... 35A | 19B0 (- 0030) .. .... 7C4 | 1A80 (+ 0038) .. .... 72E | .... .. ... . |
|    57 | 0614 (+ 0010) .. .... 314 | ....  ... ..  .. .... 788 | 1A48 (- 0038) .. .... 6E8 | .... .. ... . |
|    58 | 0624 (+ 0010) .. .... 2CE | 19E0 (+ 0030) .. .... 74C | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|    59 | 0634 (+ 0010) .. .... 314 | 1A10 (+ 0030) .. .... 710 | 19D8 (- 0038) .. .... 774 | .... .. ... . |
|    60 | 0644 (+ 0010) .. .... 35A | 1A40 (+ 0030) .. .... 6D4 | 19A0 (- 0038) .. .... 7BA | .... .. ... . |
|    61 | 0634 (- 0010) .. .... 3A0 | 1A70 (+ 0030) .. .... 698 | ....  ... ..  .. .... 800 | .... .. ... . |
|    62 | 0624 (- 0010) .. .... 3E6 | 1A40 (- 0030) .. .... 65C | 19D8 (+ 0038) .. .... 7BA | .... .. ... . |
|    63 | 0614 (- 0010) .. .... 42C | 1A10 (- 0030) .. .... 620 | 1A10 (+ 0038) .. .... 774 | .... .. ... . |
|    64 | 0604 (- 0010) .. .... 472 | 19E0 (- 0030) .. .... 5E4 | 1A48 (+ 0038) .. .... 72E | .... .. ... . |
|    65 | ....  ... ..  .. .... 4B8 | 19B0 (- 0030) .. .... 620 | 1A80 (+ 0038) .. .... 6E8 | .... .. ... . |
|    66 | 0614 (+ 0010) .. .... 4FE | ....  ... ..  .. .... 65C | 1A48 (- 0038) .. .... 72E | .... .. ... . |
|    67 | 0624 (+ 0010) .. .... 544 | 19E0 (+ 0030) .. .... 698 | 1A10 (- 0038) .. .... 774 | .... .. ... . |
|    68 | 0634 (+ 0010) .. .... 58A | 1A10 (+ 0030) .. .... 6D4 | 19D8 (- 0038) .. .... 7BA | .... .. ... . |
|    69 | 0644 (+ 0010) .. .... 5D0 | 1A40 (+ 0030) .. .... 710 | 19A0 (- 0038) .. .... 800 | .... .. ... . |
|    70 | 0634 (- 0010) .. .... 616 | 1A70 (+ 0030) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|    71 | 0624 (- 0010) .. .... 65C | 1A40 (- 0030) .. .... 788 | 19D8 (+ 0038) .. .... 774 | .... .. ... . |
|    72 | 0570 (E-2 9C) .. .... 6A2 | 2700 (D-5 BE) .. .... 7C4 | 1A10 (+ 0038) .. .... 72E | .... .. ... . |
|    73 | 0560 (- 0010) .. .... 6E8 | 26E8 (- 0018) .. .... 800 | 1A48 (+ 0038) .. .... 6E8 | .... .. ... . |
|    74 | ....  ... ..  .. .... 72E | 26D0 (- 0018) .. .... 7C4 | 1A80 (+ 0038) .. .... 72E | .... .. ... . |
|    75 | 0570 (+ 0010) .. .... 774 | ....  ... ..  .. .... 788 | 1A48 (- 0038) .. .... 774 | .... .. ... . |
|    76 | 0580 (+ 0010) .. .... 7BA | 26E8 (+ 0018) .. .... 74C | 2700 (D-5 BE) .. .... 7BA | .... .. ... . |
|    77 | 0590 (+ 0010) .. .... 800 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 800 | .... .. ... . |
|    78 | 05A0 (+ 0010) .. .... 7BA | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|    79 | 0590 (- 0010) .. .... 774 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|    80 | 0580 (- 0010) .. .... 72E | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|    81 | 0570 (- 0010) .. .... 6E8 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 6E8 | .... .. ... . |
|    82 | 0560 (- 0010) .. .... 6A2 | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 72E | .... .. ... . |
|    83 | ....  ... ..  .. .... 65C | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|    84 | 0570 (+ 0010) .. .... 616 | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 7BA | .... .. ... . |
|    85 | 0580 (+ 0010) .. .... 5D0 | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 800 | .... .. ... . |
|    86 | 0590 (+ 0010) .. .... 58A | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|    87 | 05A0 (+ 0010) .. .... 544 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|    88 | 0590 (- 0010) .. .... 4FE | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|    89 | 0580 (- 0010) .. .... 4B8 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 6E8 | .... .. ... . |
|    90 | 0570 (- 0010) .. .... 472 | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|    91 | 0560 (- 0010) .. .... 42C | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|    92 | ....  ... ..  .. .... 3E6 | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|    93 | 0570 (+ 0010) .. .... 3A0 | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 800 | .... .. ... . |
|    94 | 0580 (+ 0010) .. .... 35A | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|    95 | 0590 (+ 0010) .. .... 314 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|    96 | 0500 (D-2 9A) .. .... 2CE | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|    97 | 04F0 (- 0010) .. .... 314 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|    98 | 04E0 (- 0010) .. .... 35A | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|    99 | 04D0 (- 0010) .. .... 3A0 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|   100 | 04C0 (- 0010) .. .... 3E6 | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|   101 | ....  ... ..  .. .... 42C | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 800 | .... .. ... . |
|   102 | 04D0 (+ 0010) .. .... 472 | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 7BA | .... .. ... . |
|   103 | 04E0 (+ 0010) .. .... 4B8 | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|   104 | 04F0 (+ 0010) .. .... 4FE | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|   105 | 0500 (+ 0010) .. .... 544 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 6E8 | .... .. ... . |
|   106 | 04F0 (- 0010) .. .... 58A | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   107 | 04E0 (- 0010) .. .... 5D0 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|   108 | 04D0 (- 0010) .. .... 616 | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|   109 | 04C0 (- 0010) .. .... 65C | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 800 | .... .. ... . |
|   110 | ....  ... ..  .. .... 6A2 | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|   111 | 04D0 (+ 0010) .. .... 6E8 | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 774 | .... .. ... . |
|   112 | 04E0 (+ 0010) .. .... 72E | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 72E | .... .. ... . |
|   113 | 04F0 (+ 0010) .. .... 774 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 6E8 | .... .. ... . |
|   114 | 0500 (+ 0010) .. .... 7BA | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|   115 | 04F0 (- 0010) .. .... 800 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   116 | 04E0 (- 0010) .. .... 7BA | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|   117 | 04D0 (- 0010) .. .... 774 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 800 | .... .. ... . |
|   118 | 04C0 (- 0010) .. .... 72E | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|   119 | ....  ... ..  .. .... 6E8 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|   120 | 0448 (C-2 98) .. .... 6A2 | 2290 (C-5 BC) .. .... 65C | 271C (- 001C) .. .... 72E | .... .. ... . |
|   121 | 0458 (+ 0010) .. .... 65C | 22A8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 6E8 | .... .. ... . |
|   122 | 0468 (+ 0010) .. .... 616 | 22C0 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|   123 | 0478 (+ 0010) .. .... 5D0 | 22D8 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|   124 | 0468 (- 0010) .. .... 58A | 22F0 (+ 0018) .. .... 74C | 2288 (C-5 BC) .. .... 7BA | .... .. ... . |
|   125 | 0458 (- 0010) .. .... 544 | 22D8 (- 0018) .. .... 788 | 22A4 (+ 001C) .. .... 800 | .... .. ... . |
|   126 | 0448 (- 0010) .. .... 4FE | 22C0 (- 0018) .. .... 7C4 | 22C0 (+ 001C) .. .... 7BA | .... .. ... . |
|   127 | 0438 (B-1 97) .. .... 4B8 | 22A8 (- 0018) .. .... 800 | 22DC (+ 001C) .. .... 774 | .... .. ... . |
|   128 | ....  ... ..  .. .... 472 | 2080 (B-4 BB) .. .... 7C4 | 22F8 (+ 001C) .. .... 72E | .... .. ... . |
|   129 | 0448 (C-2 98) .. .... 42C | ....  ... ..  .. .... 788 | 22DC (- 001C) .. .... 6E8 | .... .. ... . |
|   130 | 0458 (+ 0010) .. .... 3E6 | 20B0 (+ 0030) .. .... 74C | 22C0 (- 001C) .. .... 72E | .... .. ... . |
|   131 | 0468 (+ 0010) .. .... 3A0 | 20E0 (+ 0030) .. .... 710 | 22A4 (- 001C) .. .... 774 | .... .. ... . |
|   132 | 0478 (+ 0010) .. .... 35A | 2110 (+ 0030) .. .... 6D4 | 2070 (B-4 BB) .. .... 7BA | .... .. ... . |
|   133 | 0468 (- 0010) .. .... 314 | 2140 (+ 0030) .. .... 698 | ....  ... ..  .. .... 800 | .... .. ... . |
