Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   661 | 03AC (+ 0010) .. .... 42C | 3408 (+ 0018) .. .... 698 | 3420 (- 001C) .. .... 800 | .... .. ... . |
|   662 | 03BC (+ 0010) .. .... 3E6 | 3420 (+ 0018) .. .... 6D4 | 3404 (- 001C) .. .... 7BA | .... .. ... . |
|   663 | 03CC (A#1 96) .. .... 3A0 | 3438 (+ 0018) .. .... 710 | 33E8 (- 001C) .. .... 774 | .... .. ... . |
|   664 | 03BC (A-1 95) .. .... 35A | 3450 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   665 | 03AC (- 0010) .. .... 314 | 3438 (- 0018) .. .... 788 | 3404 (+ 001C) .. .... 6E8 | .... .. ... . |
|   666 | 039C (- 0010) .. .... 2CE | 3420 (- 0018) .. .... 7C4 | 3420 (+ 001C) .. .... 72E | .... .. ... . |
|   667 | 038C (G#1 94) .. .... 314 | 3408 (- 0018) .. .... 800 | 343C (+ 001C) .. .... 774 | .... .. ... . |
|   668 | ....  ... ..  .. .... 35A | 33F0 (- 0018) .. .... 7C4 | 3458 (+ 001C) .. .... 7BA | .... .. ... . |
|   669 | 039C (A-1 95) .. .... 3A0 | ....  ... ..  .. .... 788 | 343C (- 001C) .. .... 800 | .... .. ... . |
|   670 | 03AC (+ 0010) .. .... 3E6 | 3408 (+ 0018) .. .... 74C | 3420 (- 001C) .. .... 7BA | .... .. ... . |
|   671 | 03BC (+ 0010) .. .... 42C | 3420 (+ 0018) .. .... 710 | 3404 (- 001C) .. .... 774 | .... .. ... . |
|   672 | 0362 (G#1 94) .. .... 472 | 2718 (D-5 BE) .. .... 6D4 | 33E8 (- 001C) .. .... 72E | .... .. ... . |
|   673 | 0352 (G-1 93) .. .... 4B8 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|   674 | 0342 (- 0010) .. .... 4FE | 2718 (- 0018) .. .... 65C | 3404 (+ 001C) .. .... 72E | .... .. ... . |
|   675 | 0332 (- 0010) .. .... 544 | 2700 (- 0018) .. .... 620 | 3420 (+ 001C) .. .... 774 | .... .. ... . |
|   676 | 0322 (F#1 92) .. .... 58A | 26E8 (- 0018) .. .... 5E4 | 271C (D-5 BE) .. .... 7BA | .... .. ... . |
|   677 | ....  ... ..  .. .... 5D0 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 800 | .... .. ... . |
|   678 | 0332 (G-1 93) .. .... 616 | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 7BA | .... .. ... . |
|   679 | 0342 (+ 0010) .. .... 65C | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|   680 | 0352 (+ 0010) .. .... 6A2 | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|   681 | 0362 (G#1 94) .. .... 6E8 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 6E8 | .... .. ... . |
|   682 | 0352 (G-1 93) .. .... 72E | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   683 | 0342 (- 0010) .. .... 774 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|   684 | 0332 (- 0010) .. .... 7BA | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|   685 | 0322 (F#1 92) .. .... 800 | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 800 | .... .. ... . |
|   686 | ....  ... ..  .. .... 7BA | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|   687 | 0332 (G-1 93) .. .... 774 | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 774 | .... .. ... . |
|   688 | 0342 (+ 0010) .. .... 72E | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 72E | .... .. ... . |
|   689 | 0352 (+ 0010) .. .... 6E8 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 6E8 | .... .. ... . |
|   690 | 0362 (G#1 94) .. .... 6A2 | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|   691 | 0352 (G-1 93) .. .... 65C | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   692 | 0342 (- 0010) .. .... 616 | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|   693 | 0332 (- 0010) .. .... 5D0 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 800 | .... .. ... . |
|   694 | 0322 (F#1 92) .. .... 58A | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|   695 | ....  ... ..  .. .... 544 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|   696 | 05B8 (F-2 9D) .. .... 4FE | 2290 (C-5 BC) .. .... 65C | 271C (- 001C) .. .... 72E | .... .. ... . |
|   697 | 05C8 (+ 0010) .. .... 4B8 | 22A8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 6E8 | .... .. ... . |
|   698 | 05D8 (+ 0010) .. .... 472 | 22C0 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|   699 | 05E8 (+ 0010) .. .... 42C | 22D8 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|   700 | 05D8 (- 0010) .. .... 3E6 | 22F0 (+ 0018) .. .... 74C | 2288 (C-5 BC) .. .... 7BA | .... .. ... . |
|   701 | 05C8 (- 0010) .. .... 3A0 | 22D8 (- 0018) .. .... 788 | 22A4 (+ 001C) .. .... 800 | .... .. ... . |
|   702 | 05B8 (- 0010) .. .... 35A | 22C0 (- 0018) .. .... 7C4 | 22C0 (+ 001C) .. .... 7BA | .... .. ... . |
|   703 | 05A8 (- 0010) .. .... 314 | 22A8 (- 0018) .. .... 800 | 22DC (+ 001C) .. .... 774 | .... .. ... . |
|   704 | ....  ... ..  .. .... 2CE | 2080 (B-4 BB) .. .... 7C4 | 22F8 (+ 001C) .. .... 72E | .... .. ... . |
|   705 | 05B8 (+ 0010) .. .... 314 | ....  ... ..  .. .... 788 | 22DC (- 001C) .. .... 6E8 | .... .. ... . |
|   706 | 05C8 (+ 0010) .. .... 35A | 20B0 (+ 0030) .. .... 74C | 22C0 (- 001C) .. .... 72E | .... .. ... . |
|   707 | 05D8 (+ 0010) .. .... 3A0 | 20E0 (+ 0030) .. .... 710 | 22A4 (- 001C) .. .... 774 | .... .. ... . |
|   708 | 05E8 (+ 0010) .. .... 3E6 | 2110 (+ 0030) .. .... 6D4 | 2070 (B-4 BB) .. .... 7BA | .... .. ... . |
|   709 | 05D8 (- 0010) .. .... 42C | 2140 (+ 0030) .. .... 698 | ....  ... ..  .. .... 800 | .... .. ... . |
|   710 | 05C8 (- 0010) .. .... 472 | 2110 (- 0030) .. .... 65C | 20A8 (+ 0038) .. .... 7BA | .... .. ... . |
|   711 | 05B8 (- 0010) .. .... 4B8 | 20E0 (- 0030) .. .... 620 | 20E0 (+ 0038) .. .... 774 | .... .. ... . |
|   712 | 05A8 (- 0010) .. .... 4FE | 22A8 (C-5 BC) .. .... 5E4 | 2118 (+ 0038) .. .... 72E | .... .. ... . |
|   713 | ....  ... ..  .. .... 544 | 2290 (- 0018) .. .... 620 | 2150 (+ 0038) .. .... 6E8 | .... .. ... . |
|   714 | 05B8 (+ 0010) .. .... 58A | ....  ... ..  .. .... 65C | 2118 (- 0038) .. .... 72E | .... .. ... . |
|   715 | 05C8 (+ 0010) .. .... 5D0 | 22A8 (+ 0018) .. .... 698 | 20E0 (- 0038) .. .... 774 | .... .. ... . |
|   716 | 05D8 (+ 0010) .. .... 616 | 22C0 (+ 0018) .. .... 6D4 | 22A4 (C-5 BC) .. .... 7BA | .... .. ... . |
|   717 | 05E8 (+ 0010) .. .... 65C | 22D8 (+ 0018) .. .... 710 | 2288 (- 001C) .. .... 800 | .... .. ... . |
|   718 | 05D8 (- 0010) .. .... 6A2 | 22F0 (+ 0018) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|   719 | 05C8 (- 0010) .. .... 6E8 | 22D8 (- 0018) .. .... 788 | 22A4 (+ 001C) .. .... 774 | .... .. ... . |
|   720 | 04D0 (D-2 9A) .. .... 72E | 1D60 (A-4 B9) .. .... 7C4 | 22C0 (+ 001C) .. .... 72E | .... .. ... . |
|   721 | 04C0 (- 0010) .. .... 774 | 1D30 (- 0030) .. .... 800 | 22DC (+ 001C) .. .... 6E8 | .... .. ... . |
|   722 | ....  ... ..  .. .... 7BA | 1D00 (- 0030) .. .... 7C4 | 22F8 (+ 001C) .. .... 72E | .... .. ... . |
|   723 | 04D0 (+ 0010) .. .... 800 | ....  ... ..  .. .... 788 | 22DC (- 001C) .. .... 774 | .... .. ... . |
|   724 | 04E0 (+ 0010) .. .... 7BA | 1D30 (+ 0030) .. .... 74C | 1D60 (A-4 B9) .. .... 7BA | .... .. ... . |
|   725 | 04F0 (+ 0010) .. .... 774 | 1D60 (+ 0030) .. .... 710 | 1D28 (- 0038) .. .... 800 | .... .. ... . |
|   726 | 0500 (+ 0010) .. .... 72E | 1D90 (+ 0030) .. .... 6D4 | 1CF0 (- 0038) .. .... 7BA | .... .. ... . |
|   727 | 04F0 (- 0010) .. .... 6E8 | 1DC0 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   728 | 04E0 (- 0010) .. .... 6A2 | 1D90 (- 0030) .. .... 65C | 1D28 (+ 0038) .. .... 72E | .... .. ... . |
|   729 | 04D0 (- 0010) .. .... 65C | 1D60 (- 0030) .. .... 620 | 1D60 (+ 0038) .. .... 6E8 | .... .. ... . |
|   730 | 04C0 (- 0010) .. .... 616 | 1D30 (- 0030) .. .... 5E4 | 1D98 (+ 0038) .. .... 72E | .... .. ... . |
|   731 | ....  ... ..  .. .... 5D0 | 1D00 (- 0030) .. .... 620 | 1DD0 (+ 0038) .. .... 774 | .... .. ... . |
|   732 | 04D0 (+ 0010) .. .... 58A | ....  ... ..  .. .... 65C | 1D98 (- 0038) .. .... 7BA | .... .. ... . |
|   733 | 04E0 (+ 0010) .. .... 544 | 1D30 (+ 0030) .. .... 698 | 1D60 (- 0038) .. .... 800 | .... .. ... . |
|   734 | 04F0 (+ 0010) .. .... 4FE | 1D60 (+ 0030) .. .... 6D4 | 1D28 (- 0038) .. .... 7BA | .... .. ... . |
|   735 | 0500 (+ 0010) .. .... 4B8 | 1D90 (+ 0030) .. .... 710 | 1CF0 (- 0038) .. .... 774 | .... .. ... . |
|   736 | 04F0 (- 0010) .. .... 472 | 1DC0 (+ 0030) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   737 | 04E0 (- 0010) .. .... 42C | 1D90 (- 0030) .. .... 788 | 1D28 (+ 0038) .. .... 6E8 | .... .. ... . |
|   738 | 04D0 (- 0010) .. .... 3E6 | 1D60 (- 0030) .. .... 7C4 | 1D60 (+ 0038) .. .... 72E | .... .. ... . |
|   739 | 04C0 (- 0010) .. .... 3A0 | 1D30 (- 0030) .. .... 800 | 1D98 (+ 0038) .. .... 774 | .... .. ... . |
|   740 | ....  ... ..  .. .... 35A | 1D00 (- 0030) .. .... 7C4 | 1DD0 (+ 0038) .. .... 7BA | .... .. ... . |
|   741 | 04D0 (+ 0010) .. .... 314 | ....  ... ..  .. .... 788 | 1D98 (- 0038) .. .... 800 | .... .. ... . |
|   742 | 04E0 (+ 0010) .. .... 2CE | 1D30 (+ 0030) .. .... 74C | 1D60 (- 0038) .. .... 7BA | .... .. ... . |
|   743 | 04F0 (+ 0010) .. .... 314 | 1D60 (+ 0030) .. .... 710 | 1D28 (- 0038) .. .... 774 | .... .. ... . |
|   744 | 0500 (+ 0010) .. .... 35A | 1D90 (+ 0030) .. .... 6D4 | 1CF0 (- 0038) .. .... 72E | .... .. ... . |
|   745 | 04F0 (- 0010) .. .... 3A0 | 1DC0 (+ 0030) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|   746 | 04E0 (- 0010) .. .... 3E6 | 1D90 (- 0030) .. .... 65C | 1D28 (+ 0038) .. .... 72E | .... .. ... . |
|   747 | 04D0 (- 0010) .. .... 42C | 1D60 (- 0030) .. .... 620 | 1D60 (+ 0038) .. .... 774 | .... .. ... . |
|   748 | 04C0 (- 0010) .. .... 472 | 1D30 (- 0030) .. .... 5E4 | 1D98 (+ 0038) .. .... 7BA | .... .. ... . |
|   749 | ....  ... ..  .. .... 4B8 | 1D00 (- 0030) .. .... 620 | 1DD0 (+ 0038) .. .... 800 | .... .. ... . |
|   750 | 04D0 (+ 0010) .. .... 4FE | ....  ... ..  .. .... 65C | 1D98 (- 0038) .. .... 7BA | .... .. ... . |
|   751 | 04E0 (+ 0010) .. .... 544 | 1D30 (+ 0030) .. .... 698 | 1D60 (- 0038) .. .... 774 | .... .. ... . |
|   752 | 04F0 (+ 0010) .. .... 58A | 1D60 (+ 0030) .. .... 6D4 | 1D28 (- 0038) .. .... 72E | .... .. ... . |
|   753 | 0500 (+ 0010) .. .... 5D0 | 1D90 (+ 0030) .. .... 710 | 1CF0 (- 0038) .. .... 6E8 | .... .. ... . |
|   754 | 04F0 (- 0010) .. .... 616 | 1DC0 (+ 0030) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   755 | 04E0 (- 0010) .. .... 65C | 1D90 (- 0030) .. .... 788 | 1D28 (+ 0038) .. .... 774 | .... .. ... . |
|   756 | 04D0 (- 0010) .. .... 6A2 | 1D60 (- 0030) .. .... 7C4 | 1D60 (+ 0038) .. .... 7BA | .... .. ... . |
|   757 | 04C0 (- 0010) .. .... 6E8 | 1D30 (- 0030) .. .... 800 | 1D98 (+ 0038) .. .... 800 | .... .. ... . |
|   758 | ....  ... ..  .. .... 72E | 1D00 (- 0030) .. .... 7C4 | 1DD0 (+ 0038) .. .... 7BA | .... .. ... . |
|   759 | 04D0 (+ 0010) .. .... 774 | ....  ... ..  .. .... 788 | 1D98 (- 0038) .. .... 774 | .... .. ... . |
|   760 | 04E0 (+ 0010) .. .... 7BA | 1D30 (+ 0030) .. .... 74C | 1D60 (- 0038) .. .... 72E | .... .. ... . |
|   761 | 04F0 (+ 0010) .. .... 800 | 1D60 (+ 0030) .. .... 710 | 1D28 (- 0038) .. .... 6E8 | .... .. ... . |
|   762 | 0500 (+ 0010) .. .... 7BA | 1D90 (+ 0030) .. .... 6D4 | 1CF0 (- 0038) .. .... 72E | .... .. ... . |
|   763 | 04F0 (- 0010) .. .... 774 | 1DC0 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   764 | 04E0 (- 0010) .. .... 72E | 1D90 (- 0030) .. .... 65C | 1D28 (+ 0038) .. .... 7BA | .... .. ... . |
|   765 | 04D0 (- 0010) .. .... 6E8 | 1D60 (- 0030) .. .... 620 | 1D60 (+ 0038) .. .... 800 | .... .. ... . |
|   766 | 04C0 (- 0010) .. .... 6A2 | 1D30 (- 0030) .. .... 5E4 | 1D98 (+ 0038) .. .... 7BA | .... .. ... . |
|   767 | ....  ... ..  .. .... 65C | 1D00 (- 0030) .. .... 620 | 1DD0 (+ 0038) .. .... 774 | .... .. ... . |
|   768 | 04D0 (+ 0010) .. .... 616 | 1320 (D-4 B2) 21 .... 65C | 1D98 (- 0038) .. .... 72E | .... .. ... . |
|   769 | 04E0 (+ 0010) .. .... 5D0 | 1350 (+ 0030) .. .... 698 | 1D60 (- 0038) .. .... 6E8 | .... .. ... . |
|   770 | 04F0 (+ 0010) .. .... 58A | 1380 (+ 0030) .. .... 6D4 | 1D28 (- 0038) .. .... 72E | .... .. ... . |
|   771 | 0500 (+ 0010) .. .... 544 | 13B0 (+ 0030) .. .... 710 | 1CF0 (- 0038) .. .... 774 | .... .. ... . |
|   772 | 04F0 (- 0010) .. .... 4FE | 13E0 (+ 0030) .. .... 74C | 1310 (D-4 B2) 21 .... 7BA | .... .. ... . |
|   773 | 04E0 (- 0010) .. .... 4B8 | 13B0 (- 0030) .. .... 788 | 1348 (+ 0038) .. .... 800 | .... .. ... . |
|   774 | 04D0 (- 0010) .. .... 472 | 1380 (- 0030) .. .... 7C4 | 1380 (+ 0038) .. .... 7BA | .... .. ... . |
|   775 | 04C0 (- 0010) .. .... 42C | 1350 (- 0030) .. .... 800 | 13B8 (+ 0038) .. .... 774 | .... .. ... . |
|   776 | ....  ... ..  .. .... 3E6 | 1320 (- 0030) .. .... 7C4 | 13F0 (+ 0038) .. .... 72E | .... .. ... . |
|   777 | 04D0 (+ 0010) .. .... 3A0 | ....  ... ..  .. .... 788 | 13B8 (- 0038) .. .... 6E8 | .... .. ... . |
|   778 | 04E0 (+ 0010) .. .... 35A | 1350 (+ 0030) .. .... 74C | 1380 (- 0038) .. .... 72E | .... .. ... . |
|   779 | 04F0 (+ 0010) .. .... 314 | 1380 (+ 0030) .. .... 710 | 1348 (- 0038) .. .... 774 | .... .. ... . |
|   780 | 0500 (+ 0010) .. .... 2CE | 13B0 (+ 0030) .. .... 6D4 | 1310 (- 0038) .. .... 7BA | .... .. ... . |
|   781 | 04F0 (- 0010) .. .... 314 | 13E0 (+ 0030) .. .... 698 | ....  ... ..  .. .... 800 | .... .. ... . |
|   782 | 04E0 (- 0010) .. .... 35A | 13B0 (- 0030) .. .... 65C | 1348 (+ 0038) .. .... 7BA | .... .. ... . |
|   783 | 04D0 (- 0010) .. .... 3A0 | 1380 (- 0030) .. .... 620 | 1380 (+ 0038) .. .... 774 | .... .. ... . |
|   784 | 04C0 (- 0010) .. .... 3E6 | 1350 (- 0030) .. .... 5E4 | 13B8 (+ 0038) .. .... 72E | .... .. ... . |
|   785 | ....  ... ..  .. .... 42C | 1320 (- 0030) .. .... 620 | 13F0 (+ 0038) .. .... 6E8 | .... .. ... . |
|   786 | 04D0 (+ 0010) .. .... 472 | ....  ... ..  .. .... 65C | 13B8 (- 0038) .. .... 72E | .... .. ... . |
|   787 | 04E0 (+ 0010) .. .... 4B8 | 1350 (+ 0030) .. .... 698 | 1380 (- 0038) .. .... 774 | .... .. ... . |
|   788 | 04F0 (+ 0010) .. .... 4FE | 1380 (+ 0030) .. .... 6D4 | 1348 (- 0038) .. .... 7BA | .... .. ... . |
|   789 | 0500 (+ 0010) .. .... 544 | 13B0 (+ 0030) .. .... 710 | 1310 (- 0038) .. .... 800 | .... .. ... . |
|   790 | 04F0 (- 0010) .. .... 58A | 13E0 (+ 0030) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|   791 | 04E0 (- 0010) .. .... 5D0 | 13B0 (- 0030) .. .... 788 | 1348 (+ 0038) .. .... 774 | .... .. ... . |
|   792 | 04D0 (- 0010) .. .... 616 | 1600 (E-4 B4) .. .... 7C4 | 1380 (+ 0038) .. .... 72E | .... .. ... . |
|   793 | 04C0 (- 0010) .. .... 65C | 15D0 (- 0030) .. .... 800 | 13B8 (+ 0038) .. .... 6E8 | .... .. ... . |
|   794 | ....  ... ..  .. .... 6A2 | 15A0 (- 0030) .. .... 7C4 | 13F0 (+ 0038) .. .... 72E | .... .. ... . |
|   795 | 04D0 (+ 0010) .. .... 6E8 | ....  ... ..  .. .... 788 | 13B8 (- 0038) .. .... 774 | .... .. ... . |
|   796 | 04E0 (+ 0010) .. .... 72E | 15D0 (+ 0030) .. .... 74C | 1600 (E-4 B4) .. .... 7BA | .... .. ... . |
|   797 | 04F0 (+ 0010) .. .... 774 | 1600 (+ 0030) .. .... 710 | 15C8 (- 0038) .. .... 800 | .... .. ... . |
|   798 | 0500 (+ 0010) .. .... 7BA | 1630 (+ 0030) .. .... 6D4 | 1590 (- 0038) .. .... 7BA | .... .. ... . |
|   799 | 04F0 (- 0010) .. .... 800 | 1660 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   800 | 04E0 (- 0010) .. .... 7BA | 1630 (- 0030) .. .... 65C | 15C8 (+ 0038) .. .... 72E | .... .. ... . |
|   801 | 04D0 (- 0010) .. .... 774 | 1600 (- 0030) .. .... 620 | 1600 (+ 0038) .. .... 6E8 | .... .. ... . |
|   802 | 04C0 (- 0010) .. .... 72E | 15D0 (- 0030) .. .... 5E4 | 1638 (+ 0038) .. .... 72E | .... .. ... . |
|   803 | ....  ... ..  .. .... 6E8 | 15A0 (- 0030) .. .... 620 | 1670 (+ 0038) .. .... 774 | .... .. ... . |
|   804 | 04D0 (+ 0010) .. .... 6A2 | ....  ... ..  .. .... 65C | 1638 (- 0038) .. .... 7BA | .... .. ... . |
|   805 | 04E0 (+ 0010) .. .... 65C | 15D0 (+ 0030) .. .... 698 | 1600 (- 0038) .. .... 800 | .... .. ... . |
|   806 | 04F0 (+ 0010) .. .... 616 | 1600 (+ 0030) .. .... 6D4 | 15C8 (- 0038) .. .... 7BA | .... .. ... . |
|   807 | 0500 (+ 0010) .. .... 5D0 | 1630 (+ 0030) .. .... 710 | 1590 (- 0038) .. .... 774 | .... .. ... . |
|   808 | 04F0 (- 0010) .. .... 58A | 1660 (+ 0030) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   809 | 04E0 (- 0010) .. .... 544 | 1630 (- 0030) .. .... 788 | 15C8 (+ 0038) .. .... 6E8 | .... .. ... . |
|   810 | 04D0 (- 0010) .. .... 4FE | 1600 (- 0030) .. .... 7C4 | 1600 (+ 0038) .. .... 72E | .... .. ... . |
|   811 | 04C0 (- 0010) .. .... 4B8 | 15D0 (- 0030) .. .... 800 | 1638 (+ 0038) .. .... 774 | .... .. ... . |
|   812 | ....  ... ..  .. .... 472 | 15A0 (- 0030) .. .... 7C4 | 1670 (+ 0038) .. .... 7BA | .... .. ... . |
|   813 | 04D0 (+ 0010) .. .... 42C | ....  ... ..  .. .... 788 | 1638 (- 0038) .. .... 800 | .... .. ... . |
|   814 | 04E0 (+ 0010) .. .... 3E6 | 15D0 (+ 0030) .. .... 74C | 1600 (- 0038) .. .... 7BA | .... .. ... . |
|   815 | 04F0 (+ 0010) .. .... 3A0 | 1600 (+ 0030) .. .... 710 | 15C8 (- 0038) .. .... 774 | .... .. ... . |
|   816 | 0500 (+ 0010) .. .... 35A | 1630 (+ 0030) .. .... 6D4 | 1590 (- 0038) .. .... 72E | .... .. ... . |
|   817 | 04F0 (- 0010) .. .... 314 | 1660 (+ 0030) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|   818 | 04E0 (- 0010) .. .... 2CE | 1630 (- 0030) .. .... 65C | 15C8 (+ 0038) .. .... 72E | .... .. ... . |
|   819 | 04D0 (- 0010) .. .... 314 | 1600 (- 0030) .. .... 620 | 1600 (+ 0038) .. .... 774 | .... .. ... . |
|   820 | 04C0 (- 0010) .. .... 35A | 15D0 (- 0030) .. .... 5E4 | 1638 (+ 0038) .. .... 7BA | .... .. ... . |
|   821 | ....  ... ..  .. .... 3A0 | 15A0 (- 0030) .. .... 620 | 1670 (+ 0038) .. .... 800 | .... .. ... . |
|   822 | 04D0 (+ 0010) .. .... 3E6 | ....  ... ..  .. .... 65C | 1638 (- 0038) .. .... 7BA | .... .. ... . |
|   823 | 04E0 (+ 0010) .. .... 42C | 15D0 (+ 0030) .. .... 698 | 1600 (- 0038) .. .... 774 | .... .. ... . |
|   824 | 04F0 (+ 0010) .. .... 472 | 1600 (+ 0030) .. .... 6D4 | 15C8 (- 0038) .. .... 72E | .... .. ... . |
|   825 | 0500 (+ 0010) .. .... 4B8 | 1630 (+ 0030) .. .... 710 | 1590 (- 0038) .. .... 6E8 | .... .. ... . |
|   826 | 04F0 (- 0010) .. .... 4FE | 1660 (+ 0030) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   827 | 04E0 (- 0010) .. .... 544 | 1630 (- 0030) .. .... 788 | 15C8 (+ 0038) .. .... 774 | .... .. ... . |
|   828 | 04D0 (- 0010) .. .... 58A | 1600 (- 0030) .. .... 7C4 | 1600 (+ 0038) .. .... 7BA | .... .. ... . |
|   829 | 04C0 (- 0010) .. .... 5D0 | 15D0 (- 0030) .. .... 800 | 1638 (+ 0038) .. .... 800 | .... .. ... . |
|   830 | ....  ... ..  .. .... 616 | 15A0 (- 0030) .. .... 7C4 | 1670 (+ 0038) .. .... 7BA | .... .. ... . |
|   831 | 04D0 (+ 0010) .. .... 65C | ....  ... ..  .. .... 788 | 1638 (- 0038) .. .... 774 | .... .. ... . |
|   832 | 04E0 (+ 0010) .. .... 6A2 | 15D0 (+ 0030) .. .... 74C | 1600 (- 0038) .. .... 72E | .... .. ... . |
|   833 | 04F0 (+ 0010) .. .... 6E8 | 1600 (+ 0030) .. .... 710 | 15C8 (- 0038) .. .... 6E8 | .... .. ... . |
|   834 | 0500 (+ 0010) .. .... 72E | 1630 (+ 0030) .. .... 6D4 | 1590 (- 0038) .. .... 72E | .... .. ... . |
|   835 | 04F0 (- 0010) .. .... 774 | 1660 (+ 0030) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   836 | 04E0 (- 0010) .. .... 7BA | 1630 (- 0030) .. .... 65C | 15C8 (+ 0038) .. .... 7BA | .... .. ... . |
|   837 | 04D0 (- 0010) .. .... 800 | 1600 (- 0030) .. .... 620 | 1600 (+ 0038) .. .... 800 | .... .. ... . |
|   838 | 04C0 (- 0010) .. .... 7BA | 15D0 (- 0030) .. .... 5E4 | 1638 (+ 0038) .. .... 7BA | .... .. ... . |
|   839 | ....  ... ..  .. .... 774 | 15A0 (- 0030) .. .... 620 | 1670 (+ 0038) .. .... 774 | .... .. ... . |
|   840 | 04D0 (+ 0010) .. .... 72E | 2290 (C-5 BC) .. .... 65C | 1638 (- 0038) .. .... 72E | .... .. ... . |
|   841 | 04E0 (+ 0010) .. .... 6E8 | 22A8 (+ 0018) .. .... 698 | 1600 (- 0038) .. .... 6E8 | .... .. ... . |
|   842 | 04F0 (+ 0010) .. .... 6A2 | 22C0 (+ 0018) .. .... 6D4 | 15C8 (- 0038) .. .... 72E | .... .. ... . |
|   843 | 0500 (+ 0010) .. .... 65C | 22D8 (+ 0018) .. .... 710 | 1590 (- 0038) .. .... 774 | .... .. ... . |
|   844 | 04F0 (- 0010) .. .... 616 | 22F0 (+ 0018) .. .... 74C | 2288 (C-5 BC) .. .... 7BA | .... .. ... . |
|   845 | 04E0 (- 0010) .. .... 5D0 | 22D8 (- 0018) .. .... 788 | 22A4 (+ 001C) .. .... 800 | .... .. ... . |
|   846 | 04D0 (- 0010) .. .... 58A | 22C0 (- 0018) .. .... 7C4 | 22C0 (+ 001C) .. .... 7BA | .... .. ... . |
|   847 | 04C0 (- 0010) .. .... 544 | 22A8 (- 0018) .. .... 800 | 22DC (+ 001C) .. .... 774 | .... .. ... . |
|   848 | ....  ... ..  .. .... 4FE | 2290 (- 0018) .. .... 7C4 | 22F8 (+ 001C) .. .... 72E | .... .. ... . |
|   849 | 04D0 (+ 0010) .. .... 4B8 | ....  ... ..  .. .... 788 | 22DC (- 001C) .. .... 6E8 | .... .. ... . |
|   850 | 04E0 (+ 0010) .. .... 472 | 22A8 (+ 0018) .. .... 74C | 22C0 (- 001C) .. .... 72E | .... .. ... . |
|   851 | 04F0 (+ 0010) .. .... 42C | 22C0 (+ 0018) .. .... 710 | 22A4 (- 001C) .. .... 774 | .... .. ... . |
